,Annual return,Cumulative return,Annual volatility,Max drawdown,Alpha,A.pvalue,Beta,B.pvalue
1170010_2005-06-22_2005-10-27,-0.008420367701210907,0.9969845487510182,0.039331935475083235,-0.17498441578437263,0.0019196705456401286,0.7752412316259883,0.9869667687607668,0.028601923688319528
1170010_2005-06-20_2005-10-25,0.16801745964290138,1.0570342221868305,0.03885754784814773,-0.16999377821236605,0.0028278824205403286,0.6735877628350665,0.9575771541466601,0.03340482768593987
1170010_2005-05-20_2005-09-27,0.572512407693089,1.175471683718124,0.03820080441081154,-0.0782414444683679,0.006709291478473878,0.3454223836353145,0.4262130043413934,0.4775365222615434
1170010_2005-04-21_2005-08-26,0.2469534408834293,1.082012375024957,0.0406621765406813,-0.15041212025701678,0.0007657554341511386,0.9122188590147877,1.237100274871267,0.015545835692595043
1170010_2005-03-30_2005-08-04,-0.24318195241376261,0.9052794698092174,0.037125365044476534,-0.23167704394614108,-0.005990623222937197,0.27996393142639375,1.6402976858891374,1.4232016291950453e-05
1170010_2005-03-04_2005-07-12,-0.43405811548736883,0.8160264340662998,0.0339302464176873,-0.26369044956436316,-0.0073391729236957914,0.1495789137769332,1.2169647524544835,7.475767907157943e-05
1170010_2005-02-24_2005-07-01,-0.4482744045870556,0.808645662615645,0.0317340729391475,-0.26369044956436316,-0.007097722743136692,0.15288658726326496,1.037754412455316,0.0003401112603596569
1170010_2005-02-03_2005-06-13,-0.5532649204167972,0.7499250786559719,0.03271169537060022,-0.26369044956436305,-0.0090384271260322,0.07841576447611918,1.0780139658210417,0.00022854725616219235
1170010_2005-01-21_2005-05-31,-0.3551022825299248,0.8549899586336578,0.03982584411030023,-0.2529761451982848,-0.005484070195359236,0.3970183125819876,1.1605134335752907,0.0016174921906566184
1170010_2004-12-17_2005-04-27,-0.16542442596322182,0.9374584433078051,0.03582993701666188,-0.16130947663940542,-0.0014422772051466692,0.8123793308299276,1.1807852961563654,0.0010334297245127011
1170010_2004-12-06_2005-04-14,0.25341616963699076,1.0840118585975589,0.03782230131713534,-0.12827374268821434,0.001629360139748126,0.8103816900489206,0.7701917260355343,0.06947379410695435
1170010_2004-11-16_2005-03-28,0.40816295249044554,1.130030919125532,0.03763386754295703,-0.10169491525423724,0.00042234676454100395,0.9493488952206119,1.0785159760414307,0.014091467743929232
1170010_2004-11-05_2005-03-16,0.57528514149135,1.1762114972371773,0.03895396621291669,-0.10169491525423746,0.0006115789284040218,0.9318329577269254,1.0553597854313803,0.027581311568661546
1170010_2004-09-20_2005-01-26,1.3761579155578096,1.3622009489470288,0.03575164897914221,-0.10169491525423724,0.007258096516856272,0.2387463797053495,1.116892315009985,0.003679615314017043
1170010_2004-09-08_2005-01-13,1.6150934429897785,1.409621696416022,0.036255088891894535,-0.10169491525423735,0.00789004162017548,0.20529073257639985,1.322452457047563,0.0009132066566730465
1170010_2004-08-17_2004-12-22,2.5399760404507474,1.5706215203988851,0.03856537357998654,-0.10169491525423724,0.007680966200739325,0.2518243602002117,1.5226671451142384,0.00032804291704043227
1170010_2004-06-17_2004-10-22,0.4479414149856664,1.1413295665193361,0.03901531525891775,-0.1563785983107343,0.00788214688719946,0.17148995425931707,2.0133144454291028,4.475898513632239e-06
1170010_2004-06-04_2004-10-12,0.1399884950534087,1.0479042358076882,0.03800589818289115,-0.20267928912768096,0.003926975308936376,0.5071478963715306,1.7153036307039007,7.120289541845459e-05
1170010_2004-05-12_2004-09-20,-0.09983467128994294,0.9631335891114112,0.037918186503991966,-0.22151898021073524,-0.0009245377197648619,0.8767922550230144,1.7863299377712025,3.7989252887266586e-05
1170010_2004-03-30_2004-08-06,-0.6819787570202114,0.6642105370237118,0.04204585117011662,-0.39028418296805556,-0.008117149925393585,0.2559058629162961,1.0034459699387632,0.030888928420843138
1170010_2004-03-04_2004-07-13,-0.758389920852603,0.6021212375525267,0.03964468205762989,-0.4262877483392864,-0.013607107031712196,0.04192398030868737,1.0951366878842932,0.006850804178815435
1170010_2003-12-17_2004-04-27,-0.23315217452485582,0.9095460892094213,0.039419783441413496,-0.23142127064021611,-0.005488952777905953,0.38383360890476215,1.4933354193684845,3.609641880275255e-05
1170010_2003-12-04_2004-04-14,-0.12494457534970749,0.9534510795072944,0.0394520829033408,-0.23142127064021578,-0.0049784965314474405,0.4281331020815734,1.5965418566584548,1.552742332463093e-05
1170010_2003-10-15_2004-02-24,0.07905387376387552,1.027545631439812,0.04075588494674771,-0.1434028602944145,-0.0072245795346863595,0.27575160667777665,1.7527714377332853,1.4685679116100775e-05
1170010_2003-09-22_2004-01-29,-0.19654106722733689,0.9248226517481167,0.05369858504342312,-0.25732485048330433,-0.014461337853605927,0.10256446003892805,2.292181527926843,3.078014707848073e-06
1170010_2003-09-05_2004-01-13,-0.42182081483174816,0.8222848798639405,0.049395326203687744,-0.25732485048330433,-0.014265316636149827,0.08314781744804539,2.040121076407694,4.160949867373646e-06
1170010_2003-07-11_2003-11-14,-0.09450353629003916,0.9651668871882735,0.04862912717311628,-0.221656070393363,-0.0053803237329168585,0.486042749480051,1.639968196098893,2.237576304771281e-05
1170010_2003-06-20_2003-10-27,0.230600622051911,1.0769230918386101,0.051701814114276,-0.2216560703933631,-0.002992085739973782,0.7198142514051606,1.4574694712036806,0.0001047238367572622
1170010_2003-06-05_2003-10-10,1.0437157869902367,1.2908163692294847,0.04504426344256701,-0.16534630830805486,0.002217023467123047,0.7375436445260792,1.6730846494449159,7.2743965606252195e-09
1170010_2003-04-04_2003-08-12,6.282564315623016,2.0321636973562067,0.0557800632671839,-0.11550631564772262,0.010834867280766103,0.2319735478297428,1.634495458277699,2.43703612272838e-06
1170010_2002-10-03_2003-02-11,-0.17462588776098675,0.9337539327783018,0.06021953547492596,-0.2745097810055177,0.0008226331393730302,0.9305850217668962,1.3097550097431496,1.363458974651591e-06
945676_2001-09-19_2002-01-28,3.2175623799372612,1.6719999313354499,0.05411396343303418,-0.11199998855590798,0.0116057701584793,0.1649286243729191,1.6110959213873528,7.773418224848568e-08
945676_2000-02-17_2000-06-26,0.9197757099950228,1.2622950819672136,0.06608136896873848,-0.2057667103538663,0.0036181695695403082,0.7082218139178986,1.863677629938479,2.520803869213387e-07
945676_1999-07-28_1999-12-02,-0.055464167353495464,0.9798270893371749,0.04221687816268036,-0.19505494505494536,-0.0012286136960162342,0.8704783581061212,1.0179522081012236,0.040381895545431555
1419852_2016-04-20_2016-08-25,1.7944462320226817,1.4434154250087123,0.2072860525111981,-0.3417664538438452,0.02202842721649101,0.5616266878384897,-0.669575020643132,0.7427928420307138
1419852_2016-04-04_2016-08-09,2.1423788996871704,1.5051935175362594,0.20753654965772855,-0.34295376793187415,0.022219516646327486,0.5590230450451721,-0.6797761981323368,0.7280577899625154
1419852_2016-03-21_2016-07-27,-0.6358678626954843,0.6971187909634287,0.048865888423277326,-0.3370913048467038,-0.013642387495123365,0.1072842187624277,0.3642405207220934,0.4005064076224113
1419852_2016-02-24_2016-06-30,-0.5433950118398433,0.7558008492535423,0.0496870931462172,-0.36706137490556745,-0.010762802471339872,0.2019836637052505,0.3903870714040778,0.30934700282501604
1419852_2016-02-08_2016-06-15,-0.2285934968151292,0.9114734740238986,0.055133830906253206,-0.3670613749055669,-0.01144162951048966,0.18298134147402903,1.6972137234319336,9.669372120310061e-05
