,cik
10436,8938.0
10437,
10438,861625.0
10439,787912.0
10441,721080.0
10442,793765.0
10443,844059.0
10444,
10445,7202.0
10446,793982.0
10447,
10448,706473.0
10449,921746.0
10450,793771.0
10451,793499.0
10452,
10453,814856.0
10454,761895.0
10455,764864.0
10456,793933.0
10457,820900.0
10458,
10459,793950.0
10460,1037868.0
10461,841909.0
10462,1011134.0
10463,793524.0
10464,
10465,
10466,
10467,830750.0
10468,793729.0
10469,795424.0
10470,
10471,793395.0
10472,794369.0
10473,794216.0
10474,757185.0
10475,
10476,831677.0
10477,795574.0
10478,
10479,807711.0
10480,724768.0
10481,
10482,710118.0
10483,
10484,106473.0
10485,
10486,
10487,6216.0
10488,8855.0
10489,
10490,749251.0
10491,760995.0
10492,
10493,780068.0
10494,
10495,
10496,319037.0
10497,766791.0
10498,
10499,794270.0
10500,
10501,794619.0
10502,705618.0
10503,
10504,795182.0
10505,730922.0
10506,792643.0
10507,748270.0
10508,
10509,
10510,
10511,794383.0
10512,793160.0
10513,786557.0
10514,795212.0
10515,795579.0
10516,7084.0
10517,706688.0
10518,947552.0
10519,793726.0
10520,790710.0
10521,794107.0
10522,
10523,789932.0
10524,
10525,
10526,
10527,795425.0
10528,870764.0
10529,
10530,794172.0
10531,795665.0
10532,
10533,
10534,
10535,795183.0
10536,795968.0
10537,794627.0
10538,794881.0
10539,794230.0
10540,
10541,7522.0
10542,
10543,774554.0
10544,795265.0
10545,795986.0
10546,
10547,796505.0
10548,771287.0
10549,764199.0
10550,788920.0
10551,
10552,
10553,
10554,796366.0
10555,715247.0
10556,796040.0
10557,796318.0
10558,
10559,7822.0
10561,787793.0
10562,811830.0
10563,1002682.0
10564,796486.0
10565,
10566,846917.0
10567,
10568,1923.0
10569,948463.0
10751,11234.0
10570,
10571,796369.0
10572,40542.0
10573,791731.0
10574,821616.0
10575,
10576,
10577,793894.0
10578,796313.0
10579,766624.0
10580,794103.0
10581,811436.0
10582,
10583,
10584,320029.0
10585,790933.0
10586,796577.0
10587,795279.0
10588,792360.0
10591,
10589,796579.0
10590,318598.0
10592,215005.0
10593,796228.0
10594,919568.0
10595,796331.0
10596,846801.0
10597,356841.0
10598,703800.0
10599,
10600,768534.0
10601,793725.0
10602,795262.0
10603,745087.0
10604,775483.0
10605,1985.0
10606,795403.0
10607,
10608,40675.0
10609,
10610,794620.0
10611,883702.0
10612,
10613,
10614,796516.0
10615,758119.0
10616,
10617,
10618,766404.0
10619,1444064.0
10620,
10621,
10622,796502.0
10623,1132979.0
10624,1057412.0
10625,828174.0
10626,793630.0
10627,797656.0
10628,735349.0
10629,37808.0
10630,720883.0
10631,771777.0
10632,820786.0
10633,727127.0
10634,798139.0
10635,
10636,1254699.0
10637,779681.0
10638,702902.0
10639,
10640,50346.0
10641,753324.0
10647,
10642,
10643,75748.0
10644,795551.0
10645,798081.0
10646,81057.0
10648,
10649,798287.0
10650,1024015.0
10651,746594.0
10652,
10653,
10654,843495.0
10655,
10656,2034.0
10657,801622.0
10658,793523.0
10659,792641.0
10660,27399.0
10661,768408.0
10662,797394.0
10663,
10664,2062.0
10665,
10666,760691.0
10667,1340786.0
10668,1046936.0
10669,840163.0
10670,
10671,
10672,2075.0
10673,
10674,791994.0
10675,857559.0
10676,937256.0
10677,830485.0
10678,787016.0
10679,726443.0
10680,797502.0
10681,
10682,1011309.0
10683,829803.0
10685,799903.0
10686,744956.0
10687,1088120.0
10688,797564.0
10689,225662.0
10690,
10691,799089.0
10692,
10693,785161.0
10694,750637.0
10695,743213.0
10696,798354.0
10697,811908.0
10698,9842.0
10699,79397.0
10700,
10701,
10702,798363.0
10703,773678.0
10704,758292.0
10705,798166.0
10706,798935.0
10707,
10708,
10709,798736.0
10710,769800.0
10711,
10712,799666.0
10713,727737.0
10714,798044.0
10715,758029.0
10716,739404.0
10717,
10718,826330.0
10719,
10720,730066.0
10721,797975.0
10722,
10723,799292.0
10724,799036.0
10725,819692.0
10726,799485.0
10727,
10728,2166.0
10729,715453.0
10730,216729.0
10731,27082.0
10732,790373.0
10733,799028.0
10734,
10735,93146.0
10736,
10737,798289.0
10738,767965.0
10739,799319.0
10740,
10741,828679.0
10742,799032.0
10743,11027.0
10744,
10745,797315.0
10746,
10747,
10748,
10749,745379.0
10750,799088.0
10752,313798.0
10753,797496.0
10754,
10755,
10756,
10757,355946.0
10758,795820.0
10759,
10760,
10761,799515.0
10762,
10763,740055.0
10764,739096.0
10765,743653.0
10766,801125.0
10767,799099.0
10768,801121.0
10769,1076394.0
10771,746715.0
10772,800286.0
10773,766348.0
10774,865981.0
10775,801748.0
10776,799068.0
10777,798941.0
10778,
10779,2186.0
10780,77371.0
10781,1007273.0
10782,
10783,750740.0
10784,1704952.0
10785,800460.0
10786,11860.0
10787,
10788,799297.0
10789,797542.0
10790,800266.0
10791,802301.0
10792,713078.0
10793,
10794,
10795,730347.0
10796,799937.0
10797,
10798,
10799,944628.0
10800,802492.0
10801,749922.0
10802,783140.0
10803,798085.0
10804,
10805,786533.0
10806,801338.0
10807,
10808,2308.0
10809,
10810,801309.0
10811,
10812,799233.0
10813,794324.0
10814,757189.0
10815,
10816,355565.0
10817,
10818,1166220.0
10819,745340.0
10820,799229.0
10821,802555.0
10822,786344.0
10823,1022916.0
10824,714420.0
10825,797871.0
10826,803571.0
10827,802284.0
10828,801128.0
10829,
10830,803515.0
10831,
10832,2369.0
10833,793992.0
10834,825314.0
10835,801321.0
10837,795965.0
10838,799698.0
10839,
10840,783994.0
10841,935814.0
10842,801354.0
10843,1091748.0
10844,800041.0
10845,797462.0
10846,797419.0
10847,802354.0
10848,1386966.0
10849,801343.0
10850,
10851,
10852,803651.0
10853,800458.0
10854,828808.0
10855,
10856,822664.0
10857,796912.0
10858,
10859,2408.0
10860,1116463.0
10861,803028.0
10862,
10863,801448.0
10864,798275.0
10865,791235.0
10866,14707.0
10867,
10868,765449.0
10869,803348.0
10870,803568.0
10871,1032302.0
10872,803046.0
10873,911502.0
10874,14930.0
10875,2457.0
10876,802806.0
10877,
10878,727347.0
10879,33798.0
10880,813898.0
10881,753048.0
10882,
10883,726747.0
10884,802898.0
10885,804088.0
10886,29332.0
10887,
10888,803498.0
10889,753601.0
10890,746838.0
10891,2463.0
10892,828944.0
10893,804368.0
10894,799699.0
10895,
10896,
10897,763585.0
10898,
10899,791528.0
10900,
10901,720858.0
10902,741561.0
10903,
10904,724899.0
10905,803497.0
10906,1304994.0
10907,
10908,805020.0
10909,804753.0
10910,803740.0
10911,15723.0
10912,2467.0
10913,713095.0
10914,804742.0
10915,804158.0
10916,714710.0
10917,
10918,63493.0
10919,802513.0
10920,
10921,804131.0
10922,
10923,831889.0
10924,764858.0
10925,803103.0
10926,897509.0
10927,795611.0
10928,779733.0
10929,1068848.0
10930,
10931,
10932,801337.0
10933,1096343.0
10934,805356.0
10935,805268.0
10936,1126252.0
10937,832483.0
10938,
10939,
10940,802114.0
10941,798953.0
10942,803014.0
10943,800267.0
10944,
10945,774740.0
10946,
10947,718084.0
10948,
10949,802683.0
10950,792381.0
10951,
10953,806002.0
10954,
10955,
10956,
10957,846869.0
10958,
10959,804124.0
10960,799904.0
10961,702430.0
10962,
10963,799119.0
10964,806173.0
10965,756768.0
10966,805928.0
10967,792397.0
10968,
10969,354827.0
10970,20388.0
10971,2506.0
10972,805900.0
10973,805794.0
10974,1022243.0
10975,799365.0
10976,
10977,1046002.0
10980,805645.0
10981,
10982,
10983,839538.0
10984,804073.0
10985,
10986,707511.0
10987,804121.0
10988,797922.0
10989,
10990,2517.0
10991,
10992,801350.0
10993,
10994,744962.0
10995,870382.0
10996,804840.0
10997,
10998,736970.0
10999,803227.0
11000,806086.0
11001,1077630.0
11002,
11004,822419.0
11005,
11006,740663.0
11007,802904.0
11008,795760.0
11009,
11010,2590.0
11011,350194.0
11012,32666.0
11013,776132.0
11014,809066.0
11015,798600.0
11016,805905.0
11017,16455.0
11018,1057706.0
11019,839539.0
11020,806388.0
11021,
11022,846656.0
11023,
11024,755815.0
11025,
11026,
11027,
11028,803266.0
11029,796655.0
11030,105981.0
11031,803743.0
11032,
11033,
11034,315698.0
11035,807903.0
11036,
11037,806089.0
11038,752431.0
11039,805383.0
11040,763098.0
11042,723527.0
11043,806517.0
11044,
11045,830055.0
11046,
11047,799296.0
11048,805012.0
11049,806440.0
11050,
11051,823248.0
11052,804126.0
11053,
11055,761198.0
11056,891106.0
11057,
11058,726570.0
11059,74816.0
11060,
11062,806624.0
11063,
11064,792369.0
11065,807782.0
11066,830250.0
11067,
11068,
11069,350200.0
11070,805417.0
11071,822935.0
11072,790498.0
11073,794929.0
11074,
11075,57613.0
11076,
11078,937688.0
11079,796332.0
11080,806400.0
11081,1571996.0
11082,808493.0
11083,718247.0
11084,18873.0
11085,355004.0
11086,797164.0
11087,731446.0
11088,743029.0
11089,808338.0
11090,802490.0
11091,790272.0
11092,18964.0
11093,
11094,806839.0
11095,826491.0
11096,
11097,
11098,798531.0
11099,1135165.0
11100,799694.0
11101,803957.0
11102,804157.0
11103,808207.0
11104,715994.0
11105,18968.0
11106,832922.0
11107,
11108,804559.0
11109,54175.0
11110,798526.0
11111,1299509.0
11112,806129.0
11113,
11114,
11115,771262.0
11116,
11117,805014.0
11118,747178.0
11119,806637.0
11120,800042.0
11121,
11122,722567.0
11123,807906.0
11124,796122.0
11125,807904.0
11126,806567.0
11127,760461.0
11128,809796.0
11129,806277.0
11130,
11131,855574.0
11132,780127.0
11133,793785.0
11134,828747.0
11135,809939.0
11136,804188.0
11137,802356.0
11138,806168.0
11142,808305.0
11139,801558.0
11140,
11141,803349.0
11143,800696.0
11144,5981.0
11145,
11146,846768.0
11147,801313.0
11148,
11149,729647.0
11150,801899.0
11151,
11152,806850.0
11153,806172.0
11154,810136.0
11155,
11156,
11157,109471.0
11158,810145.0
11159,801550.0
11160,810309.0
11161,806817.0
11162,
11163,1006586.0
11164,19863.0
11165,
11166,805744.0
11167,820608.0
11168,
11169,810625.0
11170,1081316.0
11171,
11172,
11173,2682.0
11174,799850.0
11175,
11176,786052.0
11177,804084.0
11178,
11179,769567.0
11180,
11181,1004981.0
11183,708250.0
11184,61425.0
11185,808219.0
11186,
11187,809801.0
11188,810666.0
11189,
11190,350685.0
11191,
11192,811210.0
11193,720131.0
11194,810876.0
11195,797500.0
11197,823927.0
11198,61442.0
11199,
11200,353335.0
11201,
11202,810957.0
11204,798217.0
11205,
11206,813606.0
11207,818096.0
11208,1030469.0
11209,810590.0
11210,804237.0
11211,810723.0
11212,810818.0
11213,803061.0
11214,803058.0
11215,804333.0
11216,854098.0
11217,810950.0
11218,
11219,880430.0
11220,
11221,811243.0
11222,
11223,803656.0
11224,799310.0
11225,846814.0
11226,809935.0
11227,
11228,
11229,319373.0
11233,796624.0
11231,
11232,870571.0
11234,
11235,867662.0
11236,
11237,313997.0
11238,799633.0
11239,811096.0
11240,810837.0
11241,869623.0
11242,
11243,
11244,
11245,
11246,803016.0
11247,777323.0
11248,
11249,
11250,
11251,
11252,
11253,
11255,
11256,711403.0
11257,810130.0
11258,811237.0
11259,811213.0
11260,791269.0
11261,
11262,771214.0
11263,
11265,811432.0
11266,
11267,18255.0
11268,
11269,
11270,
11271,810624.0
11272,
11273,
11274,29322.0
11275,704440.0
11276,811515.0
11277,811640.0
11278,811696.0
11279,
11280,
11281,811422.0
11282,780853.0
11283,811716.0
11284,799426.0
11285,811589.0
11286,
11287,
11288,2926.0
11289,809800.0
11290,
11291,811930.0
11292,811641.0
11293,203596.0
11294,811932.0
11295,1064974.0
11296,2929.0
11298,811120.0
11299,
11300,
11301,791716.0
11302,812153.0
11303,808364.0
11304,
11305,
11306,771729.0
11307,799692.0
11308,21344.0
11309,352059.0
11310,738992.0
11311,745788.0
11312,802517.0
11313,806842.0
11314,811714.0
11315,804331.0
11316,
11317,
11319,811697.0
11320,
11321,757762.0
11322,811434.0
11323,811553.0
11324,
11325,
11326,806566.0
11327,830315.0
11328,
11329,811931.0
11330,811870.0
11331,811798.0
11332,201493.0
11333,2953.0
11335,810578.0
11336,801310.0
11337,
11338,811562.0
11339,795571.0
11340,22099.0
11341,310454.0
11344,812127.0
11342,812446.0
11343,812128.0
11345,799290.0
11346,812444.0
11347,812703.0
11348,812348.0
11349,811786.0
11350,812310.0
11351,811864.0
11352,812544.0
11353,812076.0
11354,802227.0
11355,
11356,804870.0
11357,700998.0
11358,778423.0
11359,
11360,
11362,807397.0
11364,88997.0
11365,1689437.0
11366,812712.0
11367,
11368,353184.0
11369,729986.0
11370,1337619.0
11371,812910.0
11372,
11373,790375.0
11374,809060.0
11375,
11376,717324.0
11377,853020.0
11378,812701.0
11379,813298.0
11380,813424.0
11381,812491.0
11382,812900.0
11383,
11384,812708.0
11385,813747.0
11386,780603.0
11387,812880.0
11389,717306.0
11390,
11391,846584.0
11392,
11393,813619.0
11394,811212.0
11395,796262.0
11396,811211.0
11397,737468.0
11398,809768.0
11399,
11400,813609.0
11401,812927.0
11402,810829.0
11403,813672.0
11404,1047862.0
11405,
11406,1044566.0
11408,790733.0
11409,813740.0
11410,799213.0
11411,814258.0
11412,
11413,
11414,799902.0
11415,10081.0
11419,
11416,814037.0
11417,705679.0
11418,
11420,
11421,
11422,813656.0
11423,
11424,814059.0
11425,813471.0
11426,742550.0
11427,812193.0
11428,
11429,
11430,1032468.0
11431,
11432,1135887.0
11433,
11434,805528.0
11435,748232.0
11436,
11437,789562.0
11438,812083.0
11439,
11440,
11441,1023844.0
11442,726854.0
11443,812904.0
11444,
11445,813745.0
11446,
11447,
11448,
11449,
11450,813742.0
11451,812629.0
11452,810665.0
11453,814228.0
11454,
11455,
11456,98618.0
11457,
11458,814611.0
11459,812882.0
11460,808015.0
11461,813309.0
11462,840252.0
11463,
11464,
11465,813895.0
11466,827838.0
11467,
11468,785970.0
11469,
11470,
11471,
11472,3193.0
11473,808013.0
11474,809706.0
11475,814430.0
11476,356050.0
11477,828529.0
11478,1705873.0
11479,807732.0
11480,814500.0
11481,814549.0
11482,814929.0
11483,814580.0
11490,1180262.0
11484,814249.0
11487,806026.0
11488,
11489,814497.0
11491,812789.0
11492,814273.0
11493,869004.0
11494,
11495,
11496,717754.0
11497,884182.0
11498,780388.0
11499,3197.0
11500,
11501,
11502,833053.0
11503,
11504,731895.0
11506,769207.0
11507,
11508,814932.0
11509,814898.0
11510,935226.0
11511,814676.0
11512,
11513,854395.0
11514,815098.0
11515,356598.0
11516,803190.0
11517,315999.0
11518,
11519,
11520,3241.0
11521,814724.0
11522,813902.0
11523,811565.0
11524,
11525,814248.0
11526,759594.0
11527,
11528,
11529,
11531,706015.0
11532,815273.0
11533,814547.0
11534,816151.0
11535,
11536,313809.0
11537,
11538,217165.0
11539,804312.0
11540,815559.0
11541,815185.0
11542,
11543,26079.0
11544,
11545,816247.0
11546,814906.0
11547,816956.0
11548,773267.0
11549,816762.0
11550,
11551,
11552,816284.0
11554,815553.0
11555,814857.0
11556,814057.0
11557,
11558,846609.0
11559,814180.0
11560,814930.0
11561,727346.0
11562,752346.0
11563,810018.0
11564,788738.0
11565,706129.0
11566,829753.0
11567,
11568,1060558.0
11569,816959.0
11570,810353.0
11571,720676.0
11572,817905.0
11573,810613.0
11574,808246.0
11575,810351.0
11577,
11578,
11579,
11580,816954.0
11581,6955.0
11582,802686.0
11583,
11584,812489.0
11585,1567476.0
11586,
11587,701288.0
11588,812955.0
11589,
11590,814427.0
11591,815272.0
11594,
11592,
11593,318673.0
11595,818075.0
11596,818017.0
11597,814733.0
11598,797541.0
11599,813621.0
11600,818479.0
11601,352747.0
11602,
11603,
11604,815029.0
11605,799570.0
11606,794147.0
11607,26780.0
11608,
11609,815108.0
11610,814725.0
11611,816249.0
11612,
11613,789965.0
11614,818010.0
11615,
11616,
11617,
11618,815556.0
11619,
11620,817135.0
11622,814139.0
11621,818442.0
11624,708484.0
11623,
11625,1370291.0
11626,818687.0
11627,
11628,701347.0
11629,809521.0
11630,818674.0
11632,
11633,23030.0
11634,813808.0
11635,818730.0
11636,818033.0
11637,815188.0
11638,819220.0
11639,794803.0
11640,809177.0
11641,816159.0
11642,811419.0
11644,23194.0
11645,814502.0
11646,910492.0
11647,2062.0
11649,799875.0
11650,814084.0
11651,813013.0
11652,1107160.0
11653,
11654,787253.0
11655,
11656,819334.0
11657,819201.0
11658,866872.0
11659,351537.0
11660,818155.0
11661,819541.0
11662,818815.0
11663,818682.0
11664,1386278.0
11665,813775.0
11666,
11667,
11668,814915.0
11669,812186.0
11670,819676.0
11674,28385.0
11671,816330.0
11672,352763.0
11673,812551.0
11675,814246.0
11676,
11677,813765.0
11678,819706.0
11679,819203.0
11680,
11681,819527.0
11682,
11683,
11684,866701.0
11685,816811.0
11686,746970.0
11687,702147.0
11688,799874.0
11689,764843.0
11690,29560.0
11691,3453.0
11692,734194.0
11693,
11694,813945.0
11695,818973.0
11696,
11697,820163.0
11698,
11699,814579.0
11700,92149.0
11701,50493.0
11703,30554.0
11702,808715.0
11704,355143.0
11705,892158.0
11706,819724.0
11707,820081.0
11708,
11709,819685.0
11710,913656.0
11711,
11712,354767.0
11713,814181.0
11714,818675.0
11715,814438.0
11716,815032.0
11717,806492.0
11718,820411.0
11719,
11720,878671.0
11721,748794.0
11722,790920.0
11723,820235.0
11724,820095.0
11725,814081.0
11726,820084.0
11727,818470.0
11728,799268.0
11729,818726.0
11730,
11731,819793.0
11732,
11733,811919.0
11734,814257.0
11735,820237.0
11736,820609.0
11737,820906.0
11738,
11739,708717.0
11740,64247.0
11741,773318.0
11742,870461.0
11743,
11744,791453.0
11745,798078.0
11746,
11747,797543.0
11748,800457.0
11750,922487.0
11751,765921.0
11752,820318.0
11754,31235.0
11755,
11756,
11757,820242.0
11759,818263.0
11760,276641.0
11761,749420.0
11763,3535.0
11764,820960.0
11765,810622.0
11766,
11767,820413.0
11768,820773.0
11769,820759.0
11770,
11771,
11772,818722.0
11773,821509.0
11774,820285.0
11775,788329.0
11776,
11777,
11778,821126.0
11779,819840.0
11780,757788.0
11781,820738.0
11782,820739.0
11783,700551.0
11784,30786.0
11786,719739.0
11787,817438.0
11788,704175.0
11789,
11790,3545.0
11791,780151.0
11792,823386.0
11793,811802.0
11794,717751.0
11795,78319.0
11796,820526.0
11797,
11798,
11799,45356.0
11800,776151.0
11801,823913.0
11802,816949.0
11803,807863.0
11804,822412.0
11805,821572.0
11806,819557.0
11808,351710.0
11809,822818.0
11810,804330.0
11811,42136.0
11813,822373.0
11812,806030.0
11815,822374.0
11816,58254.0
11817,
11818,
11819,784721.0
11820,818695.0
11821,805791.0
11822,807359.0
11823,818969.0
11824,777513.0
11825,768411.0
11826,63929.0
11827,739624.0
11828,765353.0
11829,810081.0
11830,
11831,820240.0
11832,79388.0
11833,794927.0
11834,
11835,
11836,
11837,822967.0
11838,819550.0
11839,1381639.0
11840,789547.0
11841,
11842,
11843,3656.0
11844,350852.0
11846,
11847,742161.0
11848,
11849,824590.0
11850,34088.0
11851,3753.0
11852,37260.0
11853,821361.0
11854,38242.0
11855,
11856,803034.0
11857,824600.0
11858,821527.0
11859,731306.0
11860,41980.0
11861,826619.0
11862,814479.0
11863,779907.0
11864,789847.0
11870,
11865,830251.0
11866,867493.0
11867,
11868,831984.0
11869,
11871,821528.0
11872,824166.0
11873,216324.0
11874,831327.0
11875,
11876,739661.0
11877,
11878,
11879,815787.0
11880,814220.0
11881,819551.0
11882,814234.0
11883,355818.0
11884,822663.0
11885,
11886,3877.0
11887,832820.0
11888,1651347.0
11889,802684.0
11890,820087.0
11891,789570.0
11892,826331.0
11893,
11894,3883.0
11895,829549.0
11896,743316.0
11897,829903.0
11898,823560.0
11899,819939.0
11900,805644.0
11901,13547.0
11902,749922.0
11903,820097.0
11904,832924.0
11905,
11906,
11907,
11908,808918.0
11909,
11910,805054.0
11911,820068.0
11912,797662.0
11913,792723.0
11914,
11915,727326.0
11916,
11917,832767.0
11918,
11919,792520.0
11920,
11921,825534.0
11922,
11923,3952.0
11924,825308.0
11925,712849.0
11926,
11927,780434.0
11928,819632.0
11929,818350.0
11930,
11931,1172335.0
11932,828750.0
11933,737955.0
11934,814920.0
11935,823187.0
11936,832428.0
11937,895094.0
11938,822697.0
11939,831323.0
11940,825147.0
11941,814254.0
11942,
11943,819221.0
11944,788902.0
11945,784932.0
11946,813565.0
11947,97931.0
11948,97931.0
11949,
11950,3975.0
11951,823394.0
11952,355469.0
11953,
11954,806631.0
11955,823768.0
11956,792341.0
11957,
11958,771178.0
11959,738633.0
11960,710884.0
11961,
11962,831982.0
11963,819794.0
11964,832320.0
11965,
11966,4006.0
11970,835910.0
11971,824206.0
11973,
11974,731773.0
11975,836666.0
11976,835729.0
11977,833443.0
11978,753237.0
11981,351116.0
11982,4047.0
11983,714655.0
11985,806072.0
11987,836866.0
11990,1404912.0
11991,865160.0
11992,19612.0
11993,1111817.0
11994,831964.0
11995,317540.0
11997,1166691.0
11998,831861.0
11999,1489137.0
12001,
12002,703598.0
12004,
12005,27116.0
12006,835015.0
12008,67215.0
12009,1481792.0
12010,712843.0
12011,1327471.0
12012,830996.0
12013,
12014,926844.0
12016,835014.0
12017,1410428.0
12019,
12022,833076.0
12024,700945.0
12025,1485964.0
12026,1305294.0
12028,
12029,
12030,1375686.0
12031,832769.0
12032,1326652.0
12036,40211.0
12037,4107.0
12040,42179.0
12041,832812.0
12042,785022.0
12044,26093.0
12045,
12048,749510.0
12049,1160791.0
12050,
12051,1488075.0
12052,40533.0
12053,4156.0
12055,
12056,1144320.0
12058,68813.0
12060,40545.0
12061,4157.0
12062,920148.0
12063,755806.0
12067,836106.0
12068,707179.0
12069,
12071,835170.0
12073,1378946.0
12074,833081.0
12078,1488917.0
12079,1467858.0
12080,1490636.0
12081,1275791.0
12083,725476.0
12085,1375200.0
12086,835342.0
