,cik
88977,1132327.0
88989,1135017.0
88992,1126294.0
89001,1138234.0
89002,1101215.0
89003,1136893.0
89004,1135152.0
89006,1103982.0
89007,1137048.0
89014,1137411.0
89070,1136869.0
89130,1507934.0
89131,
89179,1156039.0
89195,1126328.0
89217,1158449.0
89247,7032.0
89258,1137774.0
89260,1051719.0
89275,1088454.0
89303,1424847.0
89310,888455.0
89326,1163842.0
89346,86312.0
89353,1158463.0
89374,1159119.0
89389,1168061.0
89400,1129446.0
89409,1168696.0
89508,1170010.0
89509,1168054.0
89525,1166691.0
89533,1174922.0
89565,1166691.0
89607,1184702.0
89653,1178970.0
89680,1183920.0
89813,1170650.0
89830,1161963.0
89876,1060822.0
89922,1690666.0
89954,1465112.0
89983,918646.0
90011,19411.0
90038,1267238.0
90044,1651347.0
90045,737874.0
90071,1013871.0
90090,1288784.0
90110,1274057.0
90132,1264755.0
90162,1276520.0
90197,1281949.0
90199,1138118.0
90215,1108524.0
90251,1272547.0
90281,1125011.0
90309,834208.0
90312,1262823.0
90319,1652044.0
90356,1289434.0
90374,1297401.0
90379,1326380.0
90386,1285785.0
90408,1292215.0
90435,1272547.0
90439,1298341.0
90441,1308161.0
90442,1308161.0
90458,73088.0
90463,1279529.0
90501,
90505,1300514.0
90520,1306830.0
90541,1299688.0
90550,1308547.0
90558,1307954.0
90565,1169264.0
90600,1617242.0
90601,1120193.0
90613,1295230.0
90628,1304994.0
90655,1051512.0
90677,1304069.0
90708,1289419.0
90725,1318310.0
90763,1265888.0
90775,1320695.0
90786,1317630.0
90800,1319439.0
90802,1319048.0
90805,1437107.0
90808,1324424.0
90814,1130866.0
90829,1324404.0
90831,1316656.0
90880,820027.0
90915,
90952,1594012.0
90992,1598014.0
90993,1571949.0
91063,1339947.0
91066,1339947.0
91067,1335793.0
91071,1010775.0
91116,1022345.0
91143,1368007.0
91152,1260221.0
91204,784977.0
91207,316206.0
91212,1618756.0
91216,1514226.0
91218,1350031.0
91233,1141391.0
91277,1355096.0
91302,1051251.0
91416,1359841.0
91461,1365135.0
91485,1357326.0
91516,7431.0
91518,1058090.0
91531,1370946.0
91547,1336920.0
91579,1357615.0
91594,1364885.0
91611,1274494.0
91639,1350593.0
91650,1373835.0
91683,1368458.0
91690,1365790.0
91849,1383312.0
91883,1377013.0
91915,1385280.0
91926,27904.0
91937,1283699.0
91968,1381668.0
91975,868857.0
91983,732834.0
92021,1324245.0
92043,1381197.0
92092,1391984.0
92095,1138639.0
92104,1391672.0
92121,1393612.0
92188,1390844.0
92195,1615418.0
92220,937556.0
92221,1099590.0
92239,1358071.0
92257,1124610.0
92293,816761.0
92296,1131096.0
92374,1405082.0
92381,1409012.0
92464,1254419.0
92469,1415404.0
92494,1407539.0
92530,916457.0
92544,1295172.0
92546,1414255.0
92597,1417398.0
92602,1413329.0
92611,1403161.0
92614,1410636.0
92618,
92697,1627014.0
92709,1430602.0
92765,1107694.0
92778,1437107.0
92852,1434588.0
92890,1452575.0
92923,1043533.0
92924,1208208.0
92931,1739942.0
92934,1125914.0
92983,1383571.0
92988,1457543.0
92992,1444598.0
93002,1730168.0
93035,1320414.0
93056,18169.0
93068,887637.0
93089,1442145.0
93091,1468516.0
93096,29534.0
93098,1468174.0
93101,842162.0
93124,1469433.0
93132,1262039.0
93141,1471458.0
93150,1171825.0
93174,1395942.0
93179,802481.0
93185,1082754.0
93222,1403385.0
93223,1470215.0
93246,1474735.0
93295,1487730.0
93305,1430592.0
93312,1402436.0
93330,1475922.0
93374,1472787.0
93420,1486159.0
93422,1108827.0
93423,701374.0
93436,1318605.0
