,gvkey,fyear,mkvalt
7509,120093,2004.0,3720.8952
7510,120093,2002.0,1360.7827
7511,120093,2002.0,1360.7827
7512,120093,2003.0,2327.4258
7513,120093,2004.0,3720.8952
7514,120093,2005.0,6030.7795
7515,120093,2003.0,2327.4258
7516,120093,2000.0,1188.4923
7517,120093,2006.0,5868.7052
7518,120093,2007.0,13037.5238
7519,120093,2001.0,1991.0088
7520,120093,2008.0,5160.119
7521,120093,2009.0,9018.0828
7522,120093,2010.0,11023.1359
7523,120093,2010.0,11023.1359
7524,120093,2001.0,1991.0088
7525,120093,2011.0,8332.9552
7526,120093,2011.0,8332.9552
7527,120093,2012.0,7321.8495
7528,120093,2012.0,7321.8495
7529,120093,2013.0,8716.7138
7530,120093,2013.0,8716.7138
7531,120093,2014.0,7785.2597
7532,120093,2015.0,1809.5266
7533,120093,2015.0,1809.5266
7534,120458,2005.0,468.1282
7535,120093,2018.0,2268.7315
7536,120093,2018.0,2268.7315
7537,120458,2001.0,9.0981
7538,120458,1999.0,60.9345
7539,120458,1999.0,60.9345
7540,120458,2000.0,2.6244
7541,120458,2000.0,2.6244
7542,120458,2001.0,9.0981
7543,120458,2003.0,187.1113
7544,120458,2003.0,187.1113
7545,120458,2004.0,218.5669
7546,120458,2004.0,218.5669
7547,120458,2007.0,907.7468
7548,120458,2007.0,907.7468
7549,120458,2008.0,715.046
7550,120458,2011.0,2149.828
7551,120093,2016.0,4182.7459
7552,120093,2016.0,4182.7459
7553,120093,2017.0,3273.3601
7554,120093,2017.0,3273.3601
7555,120178,1999.0,13705.4053
7556,120178,2000.0,25235.8444
7557,120178,2000.0,25235.8444
7558,120458,2004.0,218.5669
7559,120458,2002.0,53.8923
7560,120458,2002.0,53.8923
7561,120458,2002.0,53.8923
7562,120458,2003.0,187.1113
7563,120458,2006.0,691.6388
7564,120458,2006.0,691.6388
7565,120458,2007.0,907.7468
7566,120458,2008.0,715.046
7567,120458,2008.0,715.046
7568,120458,2014.0,1261.4586
7569,120458,2014.0,1261.4586
7570,120458,2015.0,1287.3602
7571,120458,2015.0,1287.3602
7572,120458,2012.0,1245.5852
7573,120458,2012.0,1245.5852
7574,120458,2013.0,1824.4801
7575,120458,2013.0,1824.4801
7576,120458,2016.0,995.2956
7577,120458,2016.0,995.2956
7578,120458,2005.0,468.1282
7579,120458,2006.0,691.6388
7580,120774,2005.0,1003.2654
7581,120774,1999.0,7198.44
7582,120774,2000.0,25302.29
7583,120774,2000.0,25302.29
7584,120774,2003.0,1690.3826
7585,120774,2003.0,1690.3826
7586,120774,2004.0,1794.2032
7587,120774,2004.0,1794.2032
7588,120774,2001.0,5640.6571
7589,120774,2001.0,5640.6571
7590,120774,2002.0,1612.0592
7591,120774,2002.0,1612.0592
7592,120774,2007.0,3684.2311
7593,120774,2007.0,3684.2311
7594,120774,2008.0,1401.9047
7595,120774,2008.0,1401.9047
7596,120774,2011.0,1962.3364
7597,120774,2011.0,1962.3364
7598,120774,2012.0,2421.6389
7599,120774,2012.0,2421.6389
7600,120774,2015.0,4313.0777
7601,120774,2009.0,3732.2968
7602,120774,2009.0,3732.2968
7603,120774,2010.0,2929.1979
7604,120774,2010.0,2929.1979
7605,120774,2013.0,3568.9593
7606,120774,2013.0,3568.9593
7607,120774,2014.0,4629.6731
7608,120774,2014.0,4629.6731
7609,120774,2015.0,4313.0777
7610,120774,2016.0,4258.5288
7611,120774,2016.0,4258.5288
7612,120774,2006.0,2207.0635
7613,120774,2006.0,2207.0635
7614,120877,2002.0,3623.5234
7615,120877,2000.0,4936.6688
7616,120877,2000.0,4936.6688
7617,120877,2001.0,5305.4868
7618,120877,2001.0,5305.4868
7619,120877,1999.0,1884.1654
7620,120877,1999.0,1884.1654
7621,120877,2004.0,11582.8104
7622,120877,2005.0,14054.7879
7623,120877,2006.0,19354.5688
7624,120877,2007.0,19458.6617
7625,120877,2008.0,11748.3898
7626,120877,2008.0,11748.3898
7627,120877,2007.0,19458.6617
7628,120877,2009.0,15436.7293
7629,120877,2002.0,3623.5234
7630,120877,2009.0,15436.7293
7631,120877,2010.0,19018.8953
7632,120877,2010.0,19018.8953
7633,120877,2012.0,22908.3456
7634,120877,2011.0,23863.5117
7635,120877,2012.0,22908.3456
7636,120877,2011.0,23863.5117
7637,120877,2013.0,26897.2695
7638,120877,2003.0,4948.7395
7639,120877,2013.0,26897.2695
7640,120877,2016.0,79903.233
7641,120877,2014.0,34145.6227
7642,120877,2014.0,34145.6227
7643,120877,2015.0,65871.7872
7644,120877,2015.0,65871.7872
7645,120877,2016.0,79903.233
7646,120877,2003.0,4948.7395
7647,122015,2001.0,2612.8397
7648,122015,2000.0,2267.9798
7649,122015,2013.0,4982.9912
7650,122015,2000.0,2267.9798
7651,122015,2001.0,2612.8397
7652,122015,2002.0,3576.457
7653,121513,1999.0,4752.2899
7654,122015,2003.0,7247.9385
7655,122015,2003.0,7247.9385
7656,122015,2004.0,6853.8957
7657,122015,2002.0,3576.457
7658,121513,1999.0,4752.2899
7659,121513,2000.0,6290.2553
7660,121513,2000.0,6290.2553
7661,121718,2006.0,10781.292
7662,121718,1999.0,17673.2
7663,121718,2000.0,40098.5903
7664,121718,2001.0,6237.3167
7665,121718,2004.0,14696.9019
7666,121718,2004.0,14696.9019
7667,121718,2005.0,12671.8189
7668,121718,2005.0,12671.8189
7669,121718,2002.0,2545.4508
7670,121718,2002.0,2545.4508
7671,121718,2003.0,7290.281
7672,121718,2003.0,7290.281
7673,121718,2008.0,9223.4275
7674,121718,2008.0,9223.4275
7675,121718,2009.0,13850.8245
7676,121718,2009.0,13850.8245
7677,121718,2010.0,19396.9558
7678,121718,2010.0,19396.9558
7679,121718,2011.0,10744.0077
7680,121718,2011.0,10744.0077
7681,121718,2012.0,10000.228
7682,121718,2012.0,10000.228
7683,121718,2006.0,10781.292
7684,121718,2013.0,11176.664
7685,121718,2013.0,11176.664
7686,121718,2014.0,9289.584
7687,121718,2014.0,9289.584
7688,121718,2015.0,10598.4
7689,121718,2015.0,10598.4
7690,121718,2016.0,10769.886
7691,121718,2016.0,10769.886
7692,121718,2007.0,17357.458
7693,121718,2017.0,10416.75
7694,121718,2017.0,10416.75
